pair_id,regime,source,n_tokens,n_chars,avg_word_length,type_token_ratio,pct_stopwords,n_proper_nouns,n_numbers,n_entities,has_quote,has_date,has_person,n_sentences,avg_sent_length,max_depth,n_clauses,is_cultural,is_medical,is_scientific,is_historical,is_geographic,has_superlative,has_negation,is_surprising,is_declarative,brevity,references_fiction,references_brand
france_capital,0,truth,7,32,3.857142857142857,1.0,0.42857142857142855,2,0,2,0,0,0,1,7.0,3,0,0,0,0,0,1,0,0,0,1,0.030303030303030304,0,0
japan_capital,0,truth,7,32,3.857142857142857,1.0,0.42857142857142855,2,0,2,0,0,0,1,7.0,3,0,0,0,0,0,1,0,0,0,1,0.030303030303030304,0,0
australia_capital,0,truth,7,35,4.285714285714286,1.0,0.42857142857142855,2,0,2,0,0,0,1,7.0,3,0,0,0,0,0,1,0,0,0,1,0.027777777777777776,0,0
largest_ocean,0,truth,8,40,4.25,0.75,0.375,2,0,1,0,0,0,1,8.0,2,0,0,0,0,0,1,1,0,0,1,0.024390243902439025,0,0
longest_river,0,truth,10,45,3.7,0.8,0.5,1,0,0,0,0,0,1,10.0,4,0,0,0,0,0,1,1,0,0,1,0.021739130434782608,0,0
tallest_mountain,0,truth,9,51,4.888888888888889,1.0,0.3333333333333333,3,0,1,0,0,0,1,9.0,3,0,0,0,1,0,1,1,0,0,1,0.019230769230769232,0,0
water_boiling,0,truth,10,47,3.9,0.9,0.2,1,1,1,0,0,0,1,10.0,6,0,0,0,1,0,0,0,0,0,1,0.020833333333333332,0,0
earth_orbit,0,truth,6,25,3.5,0.8333333333333334,0.3333333333333333,2,0,2,0,0,0,1,6.0,2,0,0,0,1,0,0,0,0,0,1,0.038461538461538464,0,0
light_vs_sound,0,truth,6,32,4.666666666666667,1.0,0.16666666666666666,0,0,0,0,0,0,1,6.0,3,0,0,0,1,0,0,0,0,0,1,0.030303030303030304,0,0
diamond_composition,0,truth,6,29,4.166666666666667,1.0,0.3333333333333333,0,0,0,0,0,0,1,6.0,2,0,0,0,0,0,0,0,0,0,1,0.03333333333333333,0,0
gold_symbol,0,truth,8,35,3.625,1.0,0.375,1,0,1,0,0,0,1,8.0,3,0,0,0,1,0,0,0,0,0,1,0.027777777777777776,0,0
chromosomes,0,truth,7,36,4.428571428571429,1.0,0.2857142857142857,0,1,1,0,0,0,1,7.0,3,0,0,1,0,0,0,0,0,0,1,0.02702702702702703,0,0
speed_of_light,0,truth,11,61,4.7272727272727275,1.0,0.2727272727272727,0,1,2,0,0,0,1,11.0,4,0,0,0,1,0,0,0,0,0,1,0.016129032258064516,0,0
abundant_element,0,truth,12,55,3.8333333333333335,0.9166666666666666,0.4166666666666667,1,0,1,1,0,0,1,12.0,5,0,0,0,1,0,0,1,0,0,1,0.017857142857142856,0,0
ww2_end,0,truth,7,27,3.142857142857143,1.0,0.14285714285714285,3,1,2,0,1,0,1,7.0,2,0,0,0,0,1,0,0,0,0,1,0.03571428571428571,0,0
berlin_wall,0,truth,7,29,3.4285714285714284,1.0,0.2857142857142857,2,1,2,0,1,0,1,7.0,2,0,0,0,0,1,0,0,0,0,1,0.03333333333333333,0,0
shakespeare,0,truth,5,30,5.4,1.0,0.2,2,0,2,0,0,1,1,5.0,2,0,0,0,0,0,0,0,0,0,1,0.03225806451612903,0,0
moon_landing,0,truth,8,35,3.625,1.0,0.375,0,1,2,0,1,0,1,8.0,2,0,0,0,0,1,0,1,0,0,1,0.027777777777777776,0,0
roman_fall,0,truth,8,32,3.25,1.0,0.25,2,1,2,0,1,0,1,8.0,3,0,0,0,0,1,0,0,0,0,1,0.030303030303030304,0,0
declaration,0,truth,9,51,4.888888888888889,1.0,0.4444444444444444,2,1,2,0,1,0,1,9.0,3,0,0,0,0,1,0,0,0,0,1,0.019230769230769232,0,0
human_lungs,0,truth,5,24,4.2,1.0,0.2,0,1,1,0,0,0,1,5.0,2,0,0,1,0,0,0,0,0,0,1,0.04,0,0
heart_chambers,0,truth,6,27,3.8333333333333335,1.0,0.3333333333333333,0,1,1,0,0,0,1,6.0,2,0,0,1,0,0,0,0,0,0,1,0.03571428571428571,0,0
